Chromosome,Start,End,Width,Value,FWER,Nearest Symbol,Nearest Ensembl ID,Distance to Closest Gene,CpG Island?,Annotation,Cluster
chr5,77288495,77290243,1749,0.01469427,0.004,AP3B1,ENSG00000132842.13_2,6105,non-Island,Intergenic,1:G-N+
chr1,48043379,48044893,1515,0.01479067,0.004,ATP6V0E1P4,ENSG00000227883.1_1,26953,non-Island,Intergenic,1:G-N+
chr21,34524469,34525238,770,0.017342972,0.004,,ENSG00000226433.1_1,3699,non-Island,Intergenic,1:G-N+
chr20,31067494,31070232,2739,0.015734999,0.004,C20orf112,ENSG00000197183.13_2,0,CpG-Island,Intron,1:G-N+
chr5,3310918,3312104,1187,0.015295877,0.004,LINC01019,ENSG00000248118.1_2,105161,non-Island,Intergenic,1:G-N+
chr4,186920533,186921564,1032,0.017299142,0.004,RNU4-64P,ENSG00000222727.1,26045,non-Island,Intergenic,1:G-N+
chr14,100288059,100289938,1880,0.016146308,0.004,EML1,ENSG00000066629.16_2,0,non-Island,Intron,1:G-N+
chr9,116765643,116767116,1474,0.017803301,0.004,ZNF618,ENSG00000157657.14_2,0,non-Island,Intron,1:G-N+
chr1,245815300,245816956,1657,0.017696621,0.004,KIF26B,ENSG00000162849.15_2,0,non-Island,Intron,1:G-N+
chr21,45246164,45246878,715,0.015881344,0.004,,ENSG00000215458.8_1,13715,CpG-Island,Intergenic,1:G-N+
chr7,67800458,67803128,2671,0.016823698,0.004,,ENSG00000226829.1_2,47237,non-Island,Intergenic,1:G-N+
chr1,182248437,182251680,3244,0.016671911,0.004,,ENSG00000228918.3_2,0,non-Island,Intron,1:G-N+
chr17,36607661,36609561,1901,0.015517562,0.004,NA,ENSG00000275832.4_1,0,non-Island,Intron,1:G-N+
chr17,36607661,36609561,1901,0.015517562,0.004,NA,ENSG00000276170.4_1,0,non-Island,Intron,1:G-N+
chr2,201333425,201335598,2174,0.016809311,0.004,SPATS2L,ENSG00000196141.13_2,0,non-Island,CDS,1:G-N+
chr10,102107903,102112304,4402,0.016095768,0.004,SCD,ENSG00000099194.5_1,0,non-Island,CDS,1:G-N+
chr20,20421134,20423615,2482,0.016036924,0.004,RALGAPA2,ENSG00000188559.13_1,0,non-Island,Intron,1:G-N+
chr2,240725394,240726363,970,0.015381293,0.004,,ENSG00000220256.3_1,816,non-Island,Intergenic,1:G-N+
chr1,17444010,17445400,1391,0.015355034,0.004,PADI2,ENSG00000117115.12_1,0,non-Island,Intron,1:G-N+
chr8,144977389,144978330,942,0.015855571,0.004,PLEC,ENSG00000178209.14_2,10984,non-Island,Intergenic,1:G-N+
chr14,90983864,90984905,1042,0.015576098,0.004,TTC7B,ENSG00000165914.14_1,6002,non-Island,Intergenic,1:G-N+
chr8,134306406,134308215,1810,0.015384408,0.004,NDRG1,ENSG00000104419.14_2,0,non-Island,Intron,1:G-N+
chr5,177876300,177877288,989,0.017839805,0.004,COL23A1,ENSG00000050767.15_2,0,non-Island,Intron,1:G-N+
chr10,76831249,76832334,1086,0.016342414,0.004,DUPD1,ENSG00000188716.5_1,12976,non-Island,Intergenic,1:G-N+
chr19,30720239,30721669,1431,0.017471438,0.004,ZNF536,ENSG00000198597.8_2,0,non-Island,Intron,1:G-N+
chr17,70693180,70695214,2035,0.015509956,0.004,SLC39A11,ENSG00000133195.11_2,0,non-Island,Intron,1:G-N+
chr19,51472042,51473087,1046,0.016198956,0.004,KLK6,ENSG00000167755.13_2,0,non-Island,5'UTR,1:G-N+
chr19,51472042,51473087,1046,0.016198956,0.004,,ENSG00000267879.1_1,0,non-Island,5'UTR,1:G-N+
chr20,60724495,60725346,852,0.01575775,0.004,SS18L1,ENSG00000184402.14_1,0,non-Island,Intron,1:G-N+
chr17,75869315,75870245,931,0.017887338,0.004,,ENSG00000204283.3_1,4863,non-Island,Intergenic,1:G-N+
chr11,44810068,44811506,1439,0.016259808,0.004,TSPAN18,ENSG00000157570.11_1,0,non-Island,Intron,1:G-N+
chr9,100741116,100744167,3052,0.016900801,0.004,ANP32B,ENSG00000136938.8_1,1475,non-Island,Promoter,1:G-N+
chr6,14449612,14450827,1216,0.016018153,0.004,,ENSG00000234540.1_1,45091,non-Island,Intergenic,1:G-N+
chr5,14728183,14729128,946,0.015763168,0.004,ANKH,ENSG00000154122.12_2,0,non-Island,Intron,1:G-N+
chr15,31586701,31589483,2783,0.017259501,0.004,KLF13,ENSG00000169926.10_2,29574,non-Island,Intergenic,1:G-N+
chr12,123774309,123775302,994,0.017247362,0.004,SBNO1,ENSG00000139697.7,0,non-Island,3'UTR,1:G-N+
chr1,201416641,201418376,1736,0.015815029,0.004,PHLDA3,ENSG00000174307.6_1,15134,non-Island,Intergenic,1:G-N+
chr22,38303000,38303741,742,0.017105598,0.004,MICALL1,ENSG00000100139.13_2,0,non-Island,Intron,1:G-N+
chr6,168937633,168938546,914,0.015923069,0.004,SMOC2,ENSG00000112562.18_1,0,non-Island,Intron,1:G-N+
chr6,158403601,158405163,1563,0.017574347,0.004,SYNJ2,ENSG00000078269.13_2,0,non-Island,Intron,1:G-N+
chr10,28967613,28970023,2411,0.016643961,0.004,BAMBI,ENSG00000095739.10_1,0,non-Island,Intron,1:G-N+
chrX,39944288,39945180,893,0.017250784,0.004,BCOR,ENSG00000183337.16_1,0,non-Island,Intron,1:G-N+
chr13,99087540,99088545,1006,0.015545976,0.004,FARP1,ENSG00000152767.16_2,0,non-Island,CDS,1:G-N+
chr13,99087540,99088545,1006,0.015545976,0.004,FARP1-AS1,ENSG00000231194.1_1,0,non-Island,CDS,1:G-N+
chr7,152253299,152254006,708,0.016656599,0.004,,ENSG00000231139.1_1,33719,non-Island,Intergenic,1:G-N+
chr17,79447334,79448013,680,0.015579014,0.004,NA,ENSG00000278200.1_1,0,non-Island,Intergenic,1:G-N+
chr11,115370881,115372437,1557,0.016087922,0.004,CADM1,ENSG00000182985.16_2,0,non-Island,Intron,1:G-N+
chr16,74807426,74808221,796,0.016045308,0.004,FA2H,ENSG00000103089.8_1,0,non-Island,Intron,1:G-N+
chr4,154088918,154091652,2735,0.01689906,0.004,TRIM2,ENSG00000109654.14_2,0,non-Island,Intron,1:G-N+
chr2,145253398,145257391,3994,0.015904104,0.004,ZEB2,ENSG00000169554.17_2,0,non-Island,CDS,1:G-N+
chr2,145253398,145257391,3994,0.015904104,0.004,NA,ENSG00000279166.1_1,0,non-Island,CDS,1:G-N+
chr18,3360299,3360690,392,0.016122359,0.004,,ENSG00000259256.1_1,9741,non-Island,Intergenic,1:G-N+
chr8,1404835,1405573,739,0.015910967,0.004,DLGAP2,ENSG00000198010.12_2,0,CpG-Island,Intron,1:G-N+
chr7,101666612,101667458,847,0.016384838,0.004,CUX1,ENSG00000257923.9_2,0,non-Island,Intron,1:G-N+
chr6,24052559,24054884,2326,0.016360011,0.004,HNRNPA1P58,ENSG00000219582.3_1,49897,non-Island,Intergenic,1:G-N+
chr2,208023803,208025387,1585,0.016162829,0.004,KLF7,ENSG00000118263.14_2,0,non-Island,Intron,1:G-N+
chr12,109040228,109041954,1727,0.015616773,0.004,CORO1C,ENSG00000110880.10_2,0,non-Island,CDS,1:G-N+
chr12,98010205,98012105,1901,0.018019283,0.004,RMST,ENSG00000255794.6_1,51391,non-Island,Intergenic,1:G-N+
chr10,13931133,13932644,1512,0.015517746,0.004,FRMD4A,ENSG00000151474.20_2,0,non-Island,Intron,1:G-N+
chr7,75366574,75367311,738,0.017541681,0.004,HIP1,ENSG00000127946.16_2,0,non-Island,Intron,1:G-N+
chr5,116540465,116541920,1456,0.015530921,0.004,RPL35AP15,ENSG00000243758.1_1,94879,non-Island,Intergenic,1:G-N+
chr6,170606626,170607294,669,0.016555854,0.004,DLL1,ENSG00000198719.8_1,0,non-Island,Intron,1:G-N+
chr6,170606626,170607294,669,0.016555854,0.004,FAM120B,ENSG00000112584.13_1,0,non-Island,Intron,1:G-N+
chr6,170606626,170607294,669,0.016555854,0.004,,ENSG00000271234.1_1,0,non-Island,Intron,1:G-N+
chr20,20076550,20078310,1761,0.016234065,0.004,C20orf26,ENSG00000089101.17_1,0,non-Island,Intron,1:G-N+
chr18,67909794,67910902,1109,0.015519768,0.004,RTTN,ENSG00000176225.12_1,36612,non-Island,Intergenic,1:G-N+
chr15,84540142,84541037,896,0.015903654,0.004,ADAMTSL3,ENSG00000156218.12_2,0,non-Island,Intron,1:G-N+
chr13,101282490,101284607,2118,0.015684313,0.004,TMTC4,ENSG00000125247.15_2,0,non-Island,Intron,1:G-N+
chr3,69297898,69299355,1458,0.016936434,0.004,FRMD4B,ENSG00000114541.14_2,0,non-Island,CDS,1:G-N+
chr10,113743328,113744657,1330,0.018008498,0.004,GPAM,ENSG00000119927.13_1,164964,non-Island,Intergenic,1:G-N+
chr16,47062320,47063653,1334,0.015999761,0.004,,ENSG00000259821.1_2,0,non-Island,Intron,1:G-N+
chr1,244200680,244201777,1098,0.01685831,0.004,,ENSG00000226828.1_1,0,non-Island,Intron,1:G-N+
chr10,105616094,105616653,560,0.015629587,0.004,SH3PXD2A,ENSG00000107957.16_2,792,non-Island,Promoter,1:G-N+
chr14,90388713,90391562,2850,0.017260162,0.004,,ENSG00000259053.1_2,0,non-Island,CDS,1:G-N+
chr14,90388713,90391562,2850,0.017260162,0.004,EFCAB11,ENSG00000140025.15_2,0,non-Island,CDS,1:G-N+
chr12,15736967,15738323,1357,0.016018859,0.004,PTPRO,ENSG00000151490.13_2,0,non-Island,Intron,1:G-N+
chr17,77819279,77819708,430,0.016009976,0.004,,ENSG00000262343.1_1,2148,non-Island,Intergenic,1:G-N+
chr9,20618522,20619762,1241,0.017415367,0.004,MLLT3,ENSG00000171843.15_1,0,non-Island,Intron,1:G-N+
chr9,103789166,103790197,1032,0.017288591,0.004,,ENSG00000148123.14_1,793,non-Island,Promoter,1:G-N+
chr12,12004074,12005416,1343,0.016978246,0.004,ETV6,ENSG00000139083.10_1,0,non-Island,Intron,1:G-N+
chr5,179518013,179518499,487,0.016817547,0.004,,ENSG00000253480.1_1,3974,non-Island,Intergenic,1:G-N+
chr9,100175432,100176295,864,0.016516336,0.004,TDRD7,ENSG00000196116.7_1,0,non-Island,Intron,1:G-N+
chr4,152244507,152245797,1291,0.015779171,0.004,SH3D19,ENSG00000109686.17_2,0,non-Island,Intron,1:G-N+
chr3,119299108,119299380,273,0.015566403,0.004,ADPRH,ENSG00000144843.11_2,0,non-Island,5'UTR,1:G-N+
chr7,61549368,61551278,1911,0.016363125,0.004,,ENSG00000233918.1_1,270590,non-Island,Intergenic,1:G-N+
chr9,35163008,35164174,1167,0.015926262,0.004,UNC13B,ENSG00000198722.14_2,0,non-Island,Intron,1:G-N+
chr1,109646060,109646567,508,0.015899077,0.004,,ENSG00000251484.3_1,0,non-Island,Intron,1:G-N+
chrX,19355044,19355945,902,0.015837609,0.004,PDHA1,ENSG00000131828.13_1,6065,non-Island,Intergenic,1:G-N+
chr19,14607969,14608658,690,0.015517632,0.004,GIPC1,ENSG00000123159.15_2,1007,non-Island,Promoter,1:G-N+
chr2,198670693,198671560,868,0.017073843,0.004,PLCL1,ENSG00000115896.15_1,0,non-Island,Intron,1:G-N+
chr2,232644494,232644841,348,0.016831788,0.004,PDE6D,ENSG00000156973.13_1,0,non-Island,Intron,1:G-N+
chr14,65017391,65017971,581,0.016647916,0.004,PPP1R36,ENSG00000165807.7_1,0,non-Island,CDS,1:G-N+
chr11,84015320,84015824,505,0.016582546,0.004,DLG2,ENSG00000150672.16_2,0,non-Island,Intron,1:G-N+
chr5,108391301,108392089,789,0.0158143,0.004,FER,ENSG00000151422.12_2,0,non-Island,Intron,1:G-N+
chr18,53208087,53210069,1983,0.017495764,0.004,TCF4,ENSG00000196628.9,0,non-Island,Intron,1:G-N+
chr2,55642063,55642599,537,0.016492351,0.004,CCDC88A,ENSG00000115355.15_1,0,non-Island,Intron,1:G-N+
chr13,36539449,36539630,182,0.015904031,0.004,DCLK1,ENSG00000133083.14_1,0,non-Island,Intron,1:G-N+
chr2,145196115,145196979,865,0.015812649,0.004,ZEB2,ENSG00000169554.17_2,0,non-Island,Intron,1:G-N+
chr7,129868151,129869116,966,0.015769363,0.004,SSMEM1,ENSG00000165120.3_1,11467,non-Island,Intergenic,1:G-N+
chr12,119212949,119213160,212,-0.017875125,0.004,,ENSG00000255618.1_1,6,non-Island,Promoter,1:G-N+
chr1,51432964,51433311,348,0.017217964,0.004,CDKN2C,ENSG00000123080.10_1,0,non-Island,Intron,1:G-N+
chr2,185190595,185191471,877,0.016743067,0.004,MIR548AE1,ENSG00000266808.1,52230,non-Island,Intergenic,1:G-N+
chr6,109805391,109805763,373,0.016717551,0.004,ZBTB24,ENSG00000112365.4_2,950,non-Island,Promoter,1:G-N+
chr11,14384377,14384844,468,0.01649151,0.004,RRAS2,ENSG00000133818.13_2,0,non-Island,Intron,1:G-N+
chr1,36399441,36400554,1114,0.016475574,0.004,AGO3,ENSG00000126070.19_1,0,non-Island,Intron,1:G-N+
chr14,32290818,32291232,415,0.016161922,0.004,NUBPL,ENSG00000151413.16_2,0,non-Island,Intron,1:G-N+
chr3,156459783,156460782,1000,0.01574341,0.004,LINC00886,ENSG00000240875.5_2,4352,non-Island,Intergenic,1:G-N+
chr6,111135006,111135096,91,0.020166283,0.004,CDK19,ENSG00000155111.14_2,0,non-Island,Intron,1:G-N+
chr18,14541079,14541366,288,0.018249613,0.004,POTEC,ENSG00000183206.17_2,0,non-Island,Intron,1:G-N+
chr10,119493401,119493967,567,0.018235451,0.004,,ENSG00000234952.1_1,856,non-Island,Promoter,1:G-N+
chr19,51001674,51001703,30,0.019896167,0.004,EMC10,ENSG00000161671.16_2,7546,non-Island,Intergenic,1:G-N+
chr3,39517436,39517679,244,0.018483955,0.004,MOBP,ENSG00000168314.17_2,0,non-Island,Intron,1:G-N+
chr2,175783238,175783549,312,0.018245444,0.004,CHN1,ENSG00000128656.13_2,0,non-Island,CDS,1:G-N+
chr2,145245595,145245595,1,0.019261249,0.004,ZEB2,ENSG00000169554.17_2,0,non-Island,Intron,1:G-N+
chr14,90168657,90168657,1,0.018741225,0.004,,ENSG00000259053.1_2,0,non-Island,Intron,1:G-N+
chr5,76381385,76381385,1,0.018473727,0.004,ZBED3,ENSG00000132846.5_2,0,non-Island,Intron,1:G-N+
chr6,170552402,170554359,1958,0.012733304,0.008,,ENSG00000230960.1_1,9062,non-Island,Intergenic,1:G-N+
chr10,22970069,22976841,6773,0.01269383,0.008,PIP4K2A,ENSG00000150867.13_2,0,non-Island,Intron,1:G-N+
chr10,73768634,73772709,4076,0.012263728,0.008,CHST3,ENSG00000122863.5_1,0,non-Island,3'UTR,1:G-N+
chr6,170574556,170576990,2435,0.013146619,0.008,,ENSG00000271820.1_1,0,CpG-Island,Intergenic,1:G-N+
chr1,32169274,32170662,1389,0.01294655,0.008,COL16A1,ENSG00000084636.17_2,0,CpG-Island,5'UTR,1:G-N+
chr5,31886247,31889839,3593,0.014101804,0.008,PDZD2,ENSG00000133401.15_2,0,non-Island,Intron,1:G-N+
chr2,240232587,240233577,991,0.01441948,0.008,HDAC4,ENSG00000068024.16_2,0,non-Island,Intron,1:G-N+
chr3,52073593,52075548,1956,0.014302481,0.008,DUSP7,ENSG00000164086.9_2,7386,non-Island,Intergenic,1:G-N+
chr2,241763039,241765523,2485,0.015124617,0.008,KIF1A,ENSG00000130294.14_1,3313,non-Island,Intergenic,1:G-N+
chr18,9993220,9994671,1452,0.015050753,0.008,,ENSG00000263630.1,10425,non-Island,Intergenic,1:G-N+
chr20,20231664,20233403,1740,0.015036754,0.008,C20orf26,ENSG00000089101.17_1,0,non-Island,CDS,1:G-N+
chr6,3451575,3454653,3079,0.015392051,0.008,SLC22A23,ENSG00000137266.14_1,0,non-Island,Intron,1:G-N+
chr1,25031353,25032554,1202,0.015438812,0.008,SRRM1,ENSG00000133226.16_2,31594,non-Island,Intergenic,1:G-N+
chr13,101309510,101311819,2310,0.015274939,0.008,TMTC4,ENSG00000125247.15_2,0,non-Island,Intron,1:G-N+
chr2,228882732,228883868,1137,0.015366698,0.008,SPHKAP,ENSG00000153820.12_1,0,non-Island,CDS,1:G-N+
chr11,102319302,102322530,3229,0.015396131,0.008,TMEM123,ENSG00000152558.14_2,0,CpG-Island,CDS,1:G-N+
chr1,236113276,236114219,944,0.015363602,0.008,,ENSG00000237845.1_1,6170,non-Island,Intergenic,1:G-N+
chr2,225773229,225776664,3436,0.015279254,0.008,DOCK10,ENSG00000135905.18_1,0,non-Island,Intron,1:G-N+
chr19,13296760,13297292,533,0.015486837,0.008,CACNA1A,ENSG00000141837.19_2,19963,non-Island,Intergenic,1:G-N+
chr2,69989379,69990558,1180,0.015426299,0.008,ANXA4,ENSG00000196975.15_1,0,non-Island,Intron,1:G-N+
chr10,129026019,129026885,867,0.015273832,0.008,DOCK1,ENSG00000150760.12_1,0,non-Island,Intron,1:G-N+
chr6,161739294,161741296,2003,0.015435484,0.008,PARK2,ENSG00000185345.18_2,27155,non-Island,Intergenic,1:G-N+
chr4,26362527,26364238,1712,0.015393681,0.008,RBPJ,ENSG00000168214.20_2,0,non-Island,CDS,1:G-N+
chrX,129067781,129068712,932,0.015476264,0.008,,ENSG00000235189.1_1,0,non-Island,Intron,1:G-N+
chr10,4471487,4472821,1335,0.015433906,0.008,,ENSG00000230096.1_1,3115,non-Island,Intergenic,1:G-N+
chr13,44454593,44454886,294,0.015335815,0.008,LACC1,ENSG00000179630.10_2,0,non-Island,Intron,1:G-N+
chr7,28451531,28453254,1724,0.015396196,0.008,CREB5,ENSG00000146592.16_1,0,non-Island,CDS,1:G-N+
chr11,63567424,63567860,437,0.015274605,0.008,RN7SL596P,ENSG00000264519.1,1880,non-Island,Promoter,1:G-N+
